Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22062026,1822890169,0003159
Trade Date <22-JUN-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,10,10,100.00
20,2,1003IIFL29,NC,230,120,52.17
20,3,1003ISFL28,N4,10,10,100.00
20,4,1018GS2026,GS,211,207,98.10
20,5,1025SCL34,Z8,15,15,100.00
20,6,1025SCL35A,N1,143,140,97.90
20,7,1025VCCL28,N0,1,1,100.00
20,8,1040UCL27B,N1,34,30,88.24
20,9,1050ISFL28,N5,24,24,100.00
20,10,1050NFL26,N7,51,51,100.00
20,11,1050UCL28,NH,79,79,100.00
20,12,105IIFL29,N7,300,270,90.00
20,13,1060ECL29,NS,1007,1007,100.00
20,14,1065NFL27,NC,27,26,96.30
20,15,1075WCA28,N0,3,3,100.00
20,16,10CAGL27,N5,183,133,72.68
20,17,10IIFL28,N4,15,15,100.00
20,18,10IIFL28A,NE,16,14,87.50
20,19,10IIFL29,N6,7,7,100.00
20,20,10NIDO26,N6,455,455,100.00
20,21,1102NFL26,N8,5,5,100.00
20,22,1119NFL27,ND,100,100,100.00
20,23,115VCCL28,N0,1,1,100.00
20,24,118VCCL27,N0,1,1,100.00
20,25,11MCS27,N0,2,2,100.00
20,26,1225IFL27,N0,3,3,100.00
20,27,1225IFL28,N0,7,7,100.00
20,28,12AFIL27,N0,4,4,100.00
20,29,12AFIL28,N0,8,7,87.50
20,30,12VCCL27B,N0,1,1,100.00
20,31,12VCCL29B,N0,1,1,100.00
20,32,20MICRONS,EQ,127438,65458,51.36
20,33,21STCENMGM,EQ,1676,1617,96.48
20,34,360ONE,EQ,496298,316736,63.82
20,35,364D200826,TB,200,100,50.00
20,36,364D250626,TB,148000,148000,100.00
20,37,364D280527,TB,2600,2600,100.00
20,38,364D290427,TB,700,700,100.00
20,39,364D291026,TB,200,100,50.00
20,40,3BBLACKBIO,EQ,32952,21030,63.82
20,41,3IINFOLTD,EQ,311435,170170,54.64
20,42,3MINDIA,EQ,1870,906,48.45
20,43,3PLAND,EQ,3140,2170,69.11
20,44,574GS2026,GS,9,9,100.00
20,45,591GS2028,GS,2,2,100.00
20,46,5PAISA,EQ,72685,44904,61.78
20,47,610GS2031,GS,1,1,100.00
20,48,633GS2035,GS,400,400,100.00
20,49,636GS2031,GS,100,100,100.00
20,50,63MOONS,EQ,132137,79785,60.38
20,51,648GS2035,GS,225,125,55.56
20,52,654GS2032,GS,1003,1001,99.80
20,53,664GS2027,GS,3050,2586,84.79
20,54,667GS2050,GS,42,42,100.00
20,55,668GS2040,GS,503,403,80.12
20,56,675GS2029,GS,1,1,100.00
20,57,676GS2061,GS,70692,70405,99.59
20,58,679GS2027,GS,50000,50000,100.00
20,59,679GS2031,GS,167,167,100.00
20,60,679GS2034,GS,2500,2500,100.00
20,61,690GS2065,GS,6868,6313,91.92
20,62,694GS2036,GS,300,300,100.00
20,63,695GS2061,GS,682,682,100.00
20,64,699GS2051,GS,2004,2000,99.80
20,65,706GS2028,GS,1,1,100.00
20,66,709GS2054,GS,7750,7720,99.61
20,67,709GS2074,GS,7700,7696,99.95
20,68,710GS2029,GS,29926,29917,99.97
20,69,717GS2030,GS,71150,71150,100.00
20,70,718GS2033,GS,3599,3599,100.00
20,71,71GS2034,GS,45739,45739,100.00
20,72,724GS2055,GS,135112,134212,99.33
20,73,725GS2063,GS,57539,48892,84.97
20,74,726GS2033,GS,346,346,100.00
20,75,730PFCL41,NC,120,120,100.00
20,76,733GS2026,GS,2,1,50.00
20,77,734GS2064,GS,95565,92844,97.15
20,78,734IRFC28,N4,54,54,100.00
20,79,735NHAI31,N9,1432,1428,99.72
20,80,736GS2052,GS,150,50,33.33
20,81,737GS2028,GS,3928,3868,98.47
20,82,738GS2027,GS,292301,263949,90.30
20,83,739NHAI31A,ND,3,3,100.00
20,84,73GS2053,GS,7524,7524,100.00
20,85,741GS2036,GS,5660,5660,100.00
20,86,743GS2076,GS,20000,16100,80.50
20,87,743REC35,NH,50,50,100.00
20,88,746GS2073,GS,6659,5043,75.73
20,89,74GS2062,GS,1366,1366,100.00
20,90,750GS2056,GS,100,100,100.00
20,91,753IRFC30,NJ,1117,891,79.77
20,92,754GS2036,GS,340258,332058,97.59
20,93,755TS30,SG,500,500,100.00
20,94,762GS2039,GS,3000,2000,66.67
20,95,762NTPC35F,ND,15,15,100.00
20,96,764HUDCO31,N8,1,1,100.00
20,97,764IRFC31,NO,2050,2000,97.56
20,98,764NABAR31,N2,1026,1016,99.03
20,99,769HUDCO31,N9,674,521,77.30
20,100,769IGT28,NH,50,50,100.00
20,101,769NHAI31,NE,1985,1661,83.68
20,102,76NHAI31,NA,858,714,83.22
